work_id,title,author,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits
51444295,icarus to his certainty,['queeenciri'],General Audiences,M/M,Les Mis�rables - All Media Types,Javert/Jean Valjean,"Javert (Les Mis�rables), Jean Valjean","Drabble, like this is SHORT asf but i plan to write a much larger story, Religious Imagery & Symbolism, Javert has OCD, it plays a role. even in this short little fic, the author is projecting queer ex-catholic trauma onto fictional characters what�s new",English,11/8/23,Completed,11/8/23,252,1-Jan,1,11,1,72
51433579,__,['Norian'],Teen And Up Audiences,"F/M, M/M",Les Mis�rables - All Media Types,Javert/Jean Valjean,"Jean Valjean, Javert (Les Mis�rables), Cosette Fauchelevent, Marius Pontmercy",Alternate Universe - Modern Setting,__-___ __,11/7/23,Completed,11/7/23,"12,238",1-Jan,2,10,2,98
51421126,any dream that keeps you from sleeping well,['aftershocked'],Explicit,M/M,"Les Mis�rables - All Media Types, Les Mis�rables - Victor Hugo, Les Mis�rables - Sch�nberg/Boublil",Javert/Jean Valjean,Javert (Les Mis�rables),"Masturbation, Fantasizing, Toulon Era (Les Mis�rables), Strength Kink, Wall Sex, Denial, Javert's Confused Boner (Les Mis�rables), Bottom Javert (Les Mis�rables), Romani Javert (Les Mis�rables), Anal Sex, Kinktober 2023",English,11/7/23,Completed,11/7/23,"2,831",1-Jan,3,23,1,288
51382318,____ Alone At the End of the Day,['Imprinting_CL'],Teen And Up Audiences,M/M,"Les Mis�rables (2012), Les Mis�rables - All Media Types",Javert/Jean Valjean,"Javert (Les Mis�rables), Jean Valjean, Cosette Fauchelevent, Marius Pontmercy","Alternate Universe - Modern Setting, Car Accidents, Angst, Aging, Established Relationship, ____ | Translation in Chinese",__-___ __,11/5/23,Completed,11/5/23,"7,558",1-Jan,1,9,null,67
51373681,"to hold me like water, or christ, hold me like a knife",['lewisshamilton'],Mature,"F/M, M/M","Les Mis�rables - All Media Types, Les Mis�rables (2012)","Javert/Jean Valjean, Cosette Fauchelevent/Marius Pontmercy","Javert (Les Mis�rables), Jean Valjean, Cosette Fauchelevent, Marius Pontmercy, Background OCs","Alternate Universe - Modern Setting, Inspired by Married At First Sight (TV), Enemies to Lovers, Hurt/Comfort, Fluff, Crack, Javert needs a hug, Valjean is very excited about flowers, also starring: a cat and bad jokes, and there was only one bed",English,11/5/23,Completed,11/9/23,"20,272",3-Mar,6,34,4,319
51364984,____,['kanpohongchendeC'],Not Rated,M/M,Les Mis�rables - All Media Types,"Javert/Jean Valjean, Javert & Jean Valjean","Javert (Les Mis�rables), Jean Valjean","Short snippets, Alternate Universe - Modern Setting",__-___ __,11/5/23,Updated,11/6/23,461,2/?,4,8,1,79
51355507,The Montreuil-sur-Mer Community Raffle,['thegreatgaygay'],General Audiences,M/M,Les Mis�rables - All Media Types,Javert/Jean Valjean,"Original Characters, but barely - Character","Modern Era, One Shot, raffle tickets, Dinner, Dinner Date, Silly, valvert - Freeform, MsurM era, Montreuil-sur-Mer, Mayor Madeleine - Freeform",English,11/4/23,Completed,11/4/23,"1,920",1-Jan,7,27,2,151
51348481,"_Valvert_Another Way of Surrender_Post-Seine, pwp)",['Lokitten'],Explicit,M/M,"Les Mis�rables - All Media Types, Les Mis�rables - Victor Hugo",Javert/Jean Valjean,"Jean Valjean, Javert (Les Mis�rables)","Plot What Plot/Porn Without Plot, Fluff, Love Confessions",__-___ __,11/4/23,Completed,11/4/23,"5,222",1-Jan,2,13,4,245
51302989,"you take and you give, you give and you take",['aftershocked'],Explicit,M/M,"Les Mis�rables - All Media Types, Les Mis�rables - Victor Hugo, Les Mis�rables - Sch�nberg/Boublil",Javert/Jean Valjean,"Javert (Les Mis�rables), Jean Valjean","Collars, Oral Sex, Deepthroating, Rough Sex, Mildly Dubious Consent, Facials, Light Angst, Madeleine Era, Kinktober 2023, playing a little fast and loose with the prompt, but i couldn't resist javert's CanonTM collar",English,11/2/23,Completed,11/2/23,"2,650",1-Jan,4,23,1,294
51299008,pull me close into you,['aftershocked'],Explicit,M/M,"Les Mis�rables - All Media Types, Les Mis�rables - Victor Hugo, Les Mis�rables - Sch�nberg/Boublil",Javert/Jean Valjean,"Javert (Les Mis�rables), Jean Valjean","Intercrural Sex, Established Relationship, Fluff, Romance, Old Married Couple, Post-Seine, Kinktober 2023, Bottom Javert (Les Mis�rables)",English,11/2/23,Completed,11/2/23,"2,165",1-Jan,2,21,null,270
51273211,______ _______ ______ ________,['Miss_Lyuba_Smith'],Teen And Up Audiences,M/M,"Les Mis�rables - Victor Hugo, Les Mis�rables - Sch�nberg/Boublil, Les Mis�rables - All Media Types, Les Mis�rables (2012), Les Mis�rables (TV 2018), Les Mis�rables (Movie 1978), Les Mis�rables (TV 2000), Les Mis�rables (Movie 1998), _______ ______ | Les Mis�rables: Shoujo Cosette (Anime), Les Miserables (Movie 1957)",Javert/Jean Valjean,"Javert (Les Mis�rables), Jean Valjean","Hurt/Comfort, Songfic, Angst, Drama, Love/Hate, Pre-Slash",_______,11/1/23,Completed,11/1/23,"1,971",1-Jan,null,1,null,23
51272806,Another story must begin,['Miss_Lyuba_Smith'],Teen And Up Audiences,M/M,"Les Mis�rables - Victor Hugo, Les Mis�rables - Sch�nberg/Boublil, Les Mis�rables - All Media Types, Les Mis�rables (2012), Les Mis�rables (TV 2018), Les Mis�rables (TV 2000), Les Mis�rables (Movie 1978), _______ ______ | Les Mis�rables: Shoujo Cosette (Anime), Les Miserables (Movie 1957), Les Mis�rables (Movie 1998)",Javert/Jean Valjean,"Javert (Les Mis�rables), Jean Valjean","Hurt/Comfort, Songfic, Angst, Drama, Love/Hate, Pre-Slash",English,11/1/23,Completed,11/1/23,"2,374",1-Jan,2,6,null,99
51199051,____,['masesan'],General Audiences,M/M,Les Mis�rables - All Media Types,Javert/Jean Valjean,"Javert (Les Mis�rables), Jean Valjean",,___,10/29/23,Completed,10/29/23,"3,674",3-Mar,2,3,2,33
51192643,With an open heart in hell,['coselle (orphan_account)'],Not Rated,M/M,Les Mis�rables - All Media Types,Javert/Jean Valjean,"Javert (Les Mis�rables), Jean Valjean","Madeleine Era, Hurt/Comfort",English,10/29/23,Updated,10/29/23,"1,268",1/?,null,9,1,84
51169516,_Valvert_Love is Love (__AU),['Lokitten'],General Audiences,M/M,"Les Mis�rables - All Media Types, Les Mis�rables - Victor Hugo",Javert/Jean Valjean,"Javert (Les Mis�rables), Jean Valjean, Cosette Fauchelevent, Grantaire (Les Mis�rables), Enjolras (Les Mis�rables)","Modern Era, Pride Parades, First Kiss, Love Confessions, Secret Crush",__-___ __,10/28/23,Completed,10/28/23,"1,587",1-Jan,2,8,null,97
51014587,______,['Hazel_Z'],General Audiences,M/M,"Les Mis�rables - Victor Hugo, Les Mis�rables - All Media Types",Javert/Jean Valjean,"Javert (Les Mis�rables), Jean Valjean",Alternate Universe - Soulmates,__-___ __,10/22/23,Completed,10/22/23,"3,650",1-Jan,10,8,4,127
50973871,The wildest hath not such a heart as you,['sylvie_rue'],Mature,M/M,"Les Mis�rables - All Media Types, Les Mis�rables - Victor Hugo","Javert/Jean Valjean, Fantine & Jean Valjean, Cosette Fauchelevent & Jean Valjean, Cosette Fauchelevent & Javert, Fantine & Javert, Javert & Sister Simplice","Javert (Les Mis�rables), Jean Valjean, Cosette Fauchelevent, Fantine (Les Mis�rables), Sister Simplice (Les Mis�rables)","Madeleine Era, Canon Era, Mutual Pining, Angst, Angst with a Happy Ending, Enemies to Lovers, Enemies to Friends to Lovers, Falling In Love, Identity Issues, mostly brick characterisation, except Javert has long hair, because long hair Javert is crucial to my well-being, and also great for creating moments of Romantic Tension, Long Hair, Punish Me Monsieur le Maire, the whole thing is pretty much drafted already which means I'll be updating regularly, just need to edit as I go, Idiots in Love, Jealousy, Slow Burn, Frottage, Blow Jobs, Coming In Pants",English,10/20/23,Updated,12/16/23,"29,034",13-Sep,120,94,13,"1,489"
50970268,i�m a prisoner to my decisions,['fra12'],Mature,M/M,"Les Mis�rables (Movie 1998), Les Mis�rables - All Media Types",Javert/Jean Valjean,"Jean Valjean, Javert (Les Mis�rables), Cosette Fauchelevent, Marius Pontmercy","Alternate Universe - Canon Divergence, Post-Seine, Javert Lives (Les Mis�rables), Hand Jobs, Violent Thoughts, Light BDSM, Sharing Body Heat, Sharing a Bed, Mildly Dubious Consent, Somnophilia, Stockholm Syndrome, Angst with a Happy Ending, Fluff, Fluff and Angst, Master/Pet",English,10/20/23,Completed,10/20/23,"5,530",1-Jan,4,25,5,287
50937148,Ossessione,['Secotangente'],Explicit,F/M,"Les Mis�rables - All Media Types, Les Mis�rables - Victor Hugo","Javert/Other(s), Javert/Jean Valjean",Javert (Les Mis�rables),"Implied Javert/Jean Valjean, Italiano | Italian, Cuffs, Light Bondage, implied threesome, OFC - Freeform, Michette is my OC, My smut sucks and I know, Fluff and Smut, Obsession, Masturbation, Resolved Sexual Tension, sexual anxiety, Javert gets an erection and goes full rage, Internalized Misogyny, Period Typical Bigotry, Period Typical Misogyny",Italiano,10/18/23,Completed,10/18/23,"3,737",1-Jan,null,3,null,45
50877535,comfort of your skin,['coselle (orphan_account)'],General Audiences,M/M,Les Mis�rables - All Media Types,Javert/Jean Valjean,"Javert (Les Mis�rables), Jean Valjean, Cosette Fauchelevent","Fluff and Humor, Alternate Universe - Modern Setting, this is silly",English,10/16/23,Completed,10/16/23,"1,434",1-Jan,4,24,1,186
50799862,the way you see me,['coselle (orphan_account)'],General Audiences,,Les Mis�rables - All Media Types,"Cosette Fauchelevent/Marius Pontmercy, Javert/Jean Valjean","Cosette Fauchelevent, Marius Pontmercy, Les Amis de l'ABC, Javert (Les Mis�rables), Jean Valjean","Young Love, Fluff, Short & Sweet",English,10/13/23,Completed,10/13/23,839,1-Jan,1,11,1,93
50774791,My pain fits in the palm of your freezing hand,['PoemAboutCitylights'],Teen And Up Audiences,M/M,"Les Mis�rables - All Media Types, Les Mis�rables - Victor Hugo, Les Mis�rables - Sch�nberg/Boublil, Les Mis�rables (2012)",Javert/Jean Valjean,"Javert (Les Mis�rables), Jean Valjean, Cosette Fauchelevent","Hurt/Comfort, Self-Discovery, Mentions of Javert's Jump Into the Seine, Gardening, Middle Aged Virgins, Getting Together, Healing, Pining, Javert hates his life until he doesn't, Body Worship",English,10/12/23,Completed,10/15/23,"10,564",3-Mar,15,68,9,601
50743681,Serenity Under the Stars,['ObsessiveFanNumber1'],General Audiences,M/M,"Les Mis�rables - All Media Types, Les Mis�rables - Victor Hugo, Les Mis�rables - Sch�nberg/Boublil","Javert/Jean Valjean, Javert & Jean Valjean","Jean Valjean, Javert (Les Mis�rables)","Montreuil-sur-Mer, the request asked for fluff, the author wanted fluff, but the boys said ""ANGST"", I tried to wrangle cuteness in anyways, they're dramatic but it's a happy story anyways, i think, I hope, I just want them to be happy dang it, it might not be pure fluff but I think it's at least sweet, can be read as gen but come on these two idiots are in love and they both don't know it",English,10/11/23,Completed,10/11/23,"2,260",1-Jan,5,30,3,177
50738779,"[Translation/____] _____ Tomorrow, at dawn","['Hazel_Z', 'iberiandoctor (jehane)', 'Sir_Bedevere']",Mature,M/M,"Les Mis�rables - Victor Hugo, Les Mis�rables (2012)",Javert/Jean Valjean,"Javert (Les Mis�rables), Jean Valjean, Original Characters","Identity Issues, Emotional Conflicted Sex, Barricade Day, Martingale, Tears, ____ | Translation in Chinese",__-___ __,10/10/23,Completed,10/17/23,"23,064",6-Jun,15,9,1,214
50700880,"calm eyes, stern and pure",['coselle (orphan_account)'],Not Rated,M/M,Les Mis�rables - All Media Types,Javert/Jean Valjean,"Javert (Les Mis�rables), Jean Valjean","Post-Seine, Hurt/Comfort",English,10/9/23,Completed,10/9/23,978,1-Jan,3,26,2,207
50663854,The Mayor's Charity,['M_Moonshade'],Explicit,M/M,Les Mis�rables - All Media Types,Javert/Jean Valjean,"Javert (Les Mis�rables), Jean Valjean, Fantine (Les Mis�rables)","Case Fic, Madeline Era, trying really hard to navigate a brand new relationship, Two middle-aged men decide to Talk About Things but neither knows how to do that",English,10/26/23,Completed,11/11/23,"18,558",5-May,26,27,2,516
50521870,_Valvert________,['Setsudo_0762'],Not Rated,M/M,"Les Mis�rables - All Media Types, Les Mis�rables - Sch�nberg/Boublil","Javert/Jean Valjean, Javert & Jean Valjean","Javert (Les Mis�rables), Jean Valjean",,__-___ __,10/3/23,Updated,10/3/23,"5,791",2/?,null,null,null,105
50521282,_____Valvert_Something that maybe I already knew/______,['Setsudo_0762'],Not Rated,M/M,"Les Mis�rables (2012), Les Mis�rables - All Media Types, Les Mis�rables - Sch�nberg/Boublil",Javert/Jean Valjean,"Javert (Les Mis�rables), Jean Valjean","Alternate Universe - Soulmates, Soulmates, Soulmate-Identifying Marks, ____ | Translation in Chinese",__-___ __,10/3/23,Completed,10/3/23,"6,001",1-Jan,null,8,1,127
50385460,_Valvert___Javert____Valjean___________,['Lokitten'],Mature,M/M,"Les Mis�rables - All Media Types, Les Mis�rables - Victor Hugo",Javert/Jean Valjean,"Jean Valjean, Javert (Les Mis�rables), Cosette Fauchelevent, Marius Pontmercy","Post-Seine, Alternate Universe - Canon Divergence, Character Death Fix, 5+1 Things",__-___ __,9/28/23,Completed,9/28/23,"6,677",1-Jan,6,16,2,236
